Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
1948,BAA,Boston Celtics,25,35,0.417,5,,,,,,,,,A. Julian (25,J. Seminoff (5.4)
1947,BAA,Boston Celtics*,20,28,0.417,3,,,,,,,,Lost Quarterfinals,J. Russell (20,E. Sadowski (9.3)
1946,BAA,Boston Celtics,22,38,0.367,5,,,,,,,,,J. Russell (22,C. Simmons (6.1)
2017,NBA,Toronto Raptors,24,10,0.706,2,7.07,98.1,1,112.8,5,104.8,,,D. Casey (24,D. DeRozan (4.7)
2016,NBA,Toronto Raptors*,51,31,0.622,2,3.65,94.7,,112.3,3.5,107.8,,Lost E. Conf. Semis,D. Casey (51,K. Lowry (10.1)
2015,NBA,Toronto Raptors*,56,26,0.683,1,4.08,92.9,,110,3.6,105.2,,Lost E. Conf. Finals,D. Casey (56,K. Lowry (11.6)
2014,NBA,Toronto Raptors*,49,33,0.598,1,2.45,92.8,,111,5.4,107.7,2.1,Lost E. Conf. 1st Rnd.,D. Casey (49,J. Valanciunas (8.2)
2013,NBA,Toronto Raptors*,48,34,0.585,1,2.55,91.8,,108.8,2.1,105.3,,Lost E. Conf. 1st Rnd.,D. Casey (48,K. Lowry (11.7)
2012,NBA,Toronto Raptors,34,48,0.415,5,,90.4,,105.9,0,107.5,1.6,,D. Casey (34,A. Johnson (7.3)
2011,NBA,Toronto Raptors,23,43,0.348,4,,89.3,,100.8,,104.5,,,D. Casey (23,J. Calderon (5.1)
2010,NBA,Toronto Raptors,22,60,0.268,5,,92.9,0.8,106.1,,112.9,5.6,,J. Triano (22,A. Johnson (5.6)
2009,NBA,Toronto Raptors,40,42,0.488,2,,93.1,0.4,111.3,3.7,113.2,5.6,,J. Triano (40,C. Bosh (9.6)
2008,NBA,Toronto Raptors,33,49,0.402,4,,92,0.3,107,,110,1.7,,S. Mitchell (8,C. Bosh (9.7)
2007,NBA,Toronto Raptors*,41,41,0.5,2,2.47,90.2,,110.2,2.7,107,,Lost E. Conf. 1st Rnd.,S. Mitchell (41,J. Calderon (10.2)
2006,NBA,Toronto Raptors*,47,35,0.573,1,0.61,92.6,0.7,107,0.5,106,,Lost E. Conf. 1st Rnd.,S. Mitchell (47,C. Bosh (9.6)
2005,NBA,Toronto Raptors,27,55,0.329,4,,91.1,0.6,109.5,3.3,112.7,6.5,,S. Mitchell (27,C. Bosh (9.8)
2004,NBA,Toronto Raptors,33,49,0.402,4,,92.7,1.8,106.9,0.8,108.7,2.6,,S. Mitchell (33,C. Bosh (6.8)
2003,NBA,Toronto Raptors,33,49,0.402,6,,86.8,,97,,100.4,,,K. O'Neill (33,D. Marshall (9.8)
2002,NBA,Toronto Raptors,24,58,0.293,7,,89.9,,100.5,,107,3.4,,L. Wilkens (24,A. Williams (5.5)
2001,NBA,Toronto Raptors*,42,40,0.512,3,,88.8,,102.6,,103.1,,Lost E. Conf. 1st Rnd.,L. Wilkens (42,V. Carter (7.0)
2000,NBA,Toronto Raptors*,47,35,0.573,2,1.69,90.9,,105.9,2.9,103.4,0.4,Lost E. Conf. Semis,L. Wilkens (47,V. Carter (12.9)
1999,NBA,Toronto Raptors*,45,37,0.549,3,,92.5,,104.7,0.6,104.9,0.8,Lost E. Conf. 1st Rnd.,B. Carter (45,V. Carter (11.8)
1998,NBA,Toronto Raptors,23,27,0.46,6,,88.8,,102,,103.9,1.7,,B. Carter (23,V. Carter (5.0)
1997,NBA,Toronto Raptors,16,66,0.195,8,,92.6,2.3,101.2,,111,6,,D. Walker (11,D. Christie (4.0)
1996,NBA,Toronto Raptors,30,52,0.366,8,,90.6,0.5,104.6,,108,1.3,,D. Walker (30,D. Stoudamire (7.6)
1995,NBA,Toronto Raptors,21,61,0.256,8,,93.2,1.4,103.8,,111.8,4.2,,B. Malone (21,T. Murray (4.9)
2017,NBA,New York Knicks,17,18,0.486,3,,96,,107.6,,107.7,,,J. Hornacek (17,E. Kanter (3.7)
2016,NBA,New York Knicks,31,51,0.378,3,,96,,107.7,,111.5,2.7,,J. Hornacek (31,C. Anthony (4.7)
2015,NBA,New York Knicks,32,50,0.39,3,,93.4,,104.6,,107.6,1.2,,D. Fisher (23,C. Anthony (6.4)
2014,NBA,New York Knicks,17,65,0.207,5,,91.2,,99.9,,110,4.4,,D. Fisher (17,C. Anthony (2.9)
2013,NBA,New York Knicks,37,45,0.451,3,,90.3,,108.3,1.6,109.1,2.4,,M. Woodson (37,C. Anthony (10.7)
2012,NBA,New York Knicks*,54,28,0.659,1,3.73,89.8,,111.1,5.2,106.3,0.4,Lost E. Conf. Semis,M. Woodson (54,C. Anthony (9.5)
2011,NBA,New York Knicks*,36,30,0.545,2,2.39,93.2,1.9,104.4,,101,,Lost E. Conf. 1st Rnd.,M. D'Antoni (18,T. Chandler (9.5)
2010,NBA,New York Knicks*,42,40,0.512,2,0.48,95.6,3.5,110.9,3.6,110.1,2.8,Lost E. Conf. 1st Rnd.,M. D'Antoni (42,A. Stoudemire (8.0)
