Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
1995,NBA,Cleveland Cavaliers*,47,35,0.573,3,2.49,82.3,,109.9,2.3,106.7,,Lost E. Conf. 1st Rnd.,M. Fratello (47,T. Brandon (12.7)
1994,NBA,Cleveland Cavaliers*,43,39,0.524,4,0.55,84.8,,105.3,,104.6,,Lost E. Conf. 1st Rnd.,M. Fratello (43,T. Hill (6.9)
1993,NBA,Cleveland Cavaliers*,47,35,0.573,4,3.64,91.7,,109.4,3.1,105.1,,Lost E. Conf. 1st Rnd.,M. Fratello (47,M. Price (10.0)
1992,NBA,Cleveland Cavaliers*,54,28,0.659,2,6.3,94.8,,112.7,4.7,106,,Lost E. Conf. Semis,L. Wilkens (54,B. Daugherty (12.7)
1991,NBA,Cleveland Cavaliers*,57,25,0.695,2,5.34,95,,113.9,5.7,108.2,0,Lost E. Conf. Finals,L. Wilkens (57,L. Nance (12.2)
1990,NBA,Cleveland Cavaliers,33,49,0.402,6,,95.1,,106.1,,108.7,0.8,,L. Wilkens (33,L. Nance (9.8)
1989,NBA,Cleveland Cavaliers*,42,40,0.512,4,,95,,106.9,,107.2,,Lost E. Conf. 1st Rnd.,L. Wilkens (42,M. Price (10.1)
1988,NBA,Cleveland Cavaliers*,57,25,0.695,2,7.95,98,,110.6,2.8,102.9,,Lost E. Conf. 1st Rnd.,L. Wilkens (57,M. Price (11.3)
1987,NBA,Cleveland Cavaliers*,42,40,0.512,5,1.28,97.3,,106.8,,106,,Lost E. Conf. 1st Rnd.,L. Wilkens (42,M. Price (7.8)
1986,NBA,Cleveland Cavaliers,31,51,0.378,6,,101.3,0.5,102.6,,106.4,,,L. Wilkens (31,H. Williams (7.5)
1985,NBA,Cleveland Cavaliers,29,53,0.354,5,,101.6,,105.5,,108.3,1.1,,G. Karl (25,R. Hinson (7.4)
1984,NBA,Cleveland Cavaliers*,36,46,0.439,4,,101.9,,106,,108.7,0.8,Lost E. Conf. 1st Rnd.,G. Karl (36,W. Free (6.0)
1983,NBA,Cleveland Cavaliers,28,54,0.341,4,,97.4,,104.1,,108.5,0.9,,T. Nissalke (28,W. Free (5.3)
1982,NBA,Cleveland Cavaliers,23,59,0.28,5,,97.6,,99.2,,106.8,2.1,,T. Nissalke (23,W. Free (4.6)
1981,NBA,Cleveland Cavaliers,15,67,0.183,6,,99.3,,103.3,,111.8,4.9,,D. Delaney (4,J. Edwards (4.3)
1980,NBA,Cleveland Cavaliers,28,54,0.341,5,,100.8,,104.3,,109.1,3.6,,B. Musselman (25,M. Mitchell (6.0)
1979,NBA,Cleveland Cavaliers,37,45,0.451,5,0.43,105.6,2.5,106.7,1.4,106.4,1.1,,S. Albeck (37,D. Robisch (8.6)
1978,NBA,Cleveland Cavaliers,30,52,0.366,5,,102.7,,103.7,,107.3,3.5,,B. Fitch (30,C. Russell (6.7)
1977,NBA,Cleveland Cavaliers*,43,39,0.524,3,0.44,103.5,,99.9,,99.4,,Lost E. Conf. 1st Rnd.,B. Fitch (43,E. Smith (6.8)
1976,NBA,Cleveland Cavaliers*,43,39,0.524,4,1.08,101.5,,100,0.5,98.9,,Lost E. Conf. 1st Rnd.,B. Fitch (43,J. Chones (5.9)
1975,NBA,Cleveland Cavaliers*,49,33,0.598,1,2.34,101.6,,99.5,1.2,97,,Lost E. Conf. Finals,B. Fitch (49,J. Brewer (7.9)
1974,NBA,Cleveland Cavaliers,40,42,0.488,3,,100.4,,97.6,,98,0.3,,B. Fitch (40,D. Snyder (6.4)
1973,NBA,Cleveland Cavaliers,29,53,0.354,4,,104.1,,96,,100.1,2.4,,B. Fitch (29,L. Wilkens (6.5)
1972,NBA,Cleveland Cavaliers,32,50,0.39,4,,108.3,,94,,96.5,,,B. Fitch (32,L. Wilkens (9.5)
1971,NBA,Cleveland Cavaliers,23,59,0.28,4,,111.5,,94.5,,101.4,3.5,,B. Fitch (23,B. Beard (5.9)
1970,NBA,Cleveland Cavaliers,15,67,0.183,4,,110.6,,92.3,,102.4,5.2,,B. Fitch (15,W. Wesley (4.1)
2017,NBA,Detroit Pistons,19,15,0.559,2,0.77,95.6,,107.2,,106.4,,,S. Van Gundy (19,A. Drummond (4.4)
2016,NBA,Detroit Pistons,37,45,0.451,5,,95,,106,,107.1,,,S. Van Gundy (37,T. Harris (6.8)
2015,NBA,Detroit Pistons*,44,38,0.537,3,0.43,95.1,,106.1,,105.5,,Lost E. Conf. 1st Rnd.,S. Van Gundy (44,A. Drummond (7.4)
2014,NBA,Detroit Pistons,32,50,0.39,5,,92.8,,105.3,,106.4,0.8,,S. Van Gundy (32,A. Drummond (7.7)
2013,NBA,Detroit Pistons,29,53,0.354,4,,94.9,1,105.9,,109.7,3,,M. Cheeks (21,A. Drummond (9.9)
2012,NBA,Detroit Pistons,29,53,0.354,4,,90.8,,103.8,,108.1,2.2,,L. Frank (29,G. Monroe (5.9)
2011,NBA,Detroit Pistons,25,41,0.379,4,,89.2,,101,,106.3,1.7,,L. Frank (25,G. Monroe (7.0)
2010,NBA,Detroit Pistons,30,52,0.366,4,,89.2,,107.7,0.4,111.7,4.4,,J. Kuester (30,G. Monroe (6.6)
2009,NBA,Detroit Pistons,27,55,0.329,5,,88.5,,105.6,,111.4,3.8,,J. Kuester (27,B. Wallace (4.7)
2008,NBA,Detroit Pistons*,39,43,0.476,3,,86.7,,107.4,,108,,Lost E. Conf. 1st Rnd.,M. Curry (39,T. Prince (6.2)
2007,NBA,Detroit Pistons*,59,23,0.72,1,6.67,87.3,,111.4,3.9,102.9,,Lost E. Conf. Finals,F. Saunders (59,C. Billups (13.5)
2006,NBA,Detroit Pistons*,53,29,0.646,1,3.69,87.3,,108.9,2.4,104.2,,Lost E. Conf. Finals,F. Saunders (53,C. Billups (11.4)
2005,NBA,Detroit Pistons*,64,18,0.78,1,6.24,86.8,,110.8,4.6,103.1,,Lost E. Conf. Finals,F. Saunders (64,C. Billups (15.5)
2004,NBA,Detroit Pistons*,54,28,0.659,1,3.31,87.2,,105.6,,101.2,,Lost Finals,L. Brown (54,C. Billups (12.1)
2003,NBA,Detroit Pistons*,54,28,0.659,2,5.04,87.9,,102,,95.4,,Won Finals,L. Brown (54,C. Billups (11.3)
2002,NBA,Detroit Pistons*,50,32,0.61,1,2.97,86.8,,104.1,0.5,99.9,,Lost E. Conf. Finals,R. Carlisle (50,B. Wallace (10.6)
2001,NBA,Detroit Pistons*,50,32,0.61,1,1.69,90,,104.8,0.3,102.4,,Lost E. Conf. Semis,R. Carlisle (50,B. Wallace (11.6)
2000,NBA,Detroit Pistons,32,50,0.39,5,,94.7,3.4,100,,101.8,,,G. Irvine (32,J. Stackhouse (9.2)
1999,NBA,Detroit Pistons*,42,40,0.512,4,1.13,95.7,2.6,107.3,3.2,105.8,1.7,Lost E. Conf. 1st Rnd.,A. Gentry (28,G. Hill (10.7)
1998,NBA,Detroit Pistons*,29,21,0.58,3,3.97,86.3,,104.2,2,100.3,,Lost E. Conf. 1st Rnd.,A. Gentry (29,G. Hill (7.3)
1997,NBA,Detroit Pistons,37,45,0.451,6,1.95,88.2,,105.3,0.3,103.5,,,D. Collins (21,G. Hill (10.2)
1996,NBA,Detroit Pistons*,54,28,0.659,3,5.45,84.5,,110.6,3.9,104.4,,Lost E. Conf. 1st Rnd.,D. Collins (54,G. Hill (14.6)
1995,NBA,Detroit Pistons*,46,36,0.561,5,2.45,87.7,,107.9,0.3,105.1,,Lost E. Conf. 1st Rnd.,D. Collins (46,G. Hill (11.7)
1994,NBA,Detroit Pistons,28,54,0.341,7,,93.2,0.3,105.1,,112.9,4.6,,D. Chaney (28,G. Hill (5.4)
1993,NBA,Detroit Pistons,20,62,0.244,7,,94.2,,102.7,,110.9,4.6,,D. Chaney (20,T. Mills (6.3)
1992,NBA,Detroit Pistons,40,42,0.488,6,,93.2,,107.4,,108.9,0.9,,R. Rothstein (40,J. Dumars (9.1)
1991,NBA,Detroit Pistons*,48,34,0.585,3,2.06,91.6,,107.5,,105.3,,Lost E. Conf. 1st Rnd.,C. Daly (48,D. Rodman (12.6)
1990,NBA,Detroit Pistons*,50,32,0.61,2,3.08,91.9,,108.2,0.3,104.6,,Lost E. Conf. Finals,C. Daly (50,J. Dumars (9.9)
1989,NBA,Detroit Pistons*,59,23,0.72,1,5.41,94.4,,109.9,1.8,103.5,,Won Finals,C. Daly (59,B. Laimbeer (10.1)
1988,NBA,Detroit Pistons*,63,19,0.768,1,6.24,95.5,,110.8,3,104.7,,Won Finals,C. Daly (63,B. Laimbeer (9.0)
1987,NBA,Detroit Pistons*,54,28,0.659,1,5.46,98.3,,110.5,2.5,105.3,,Lost Finals,C. Daly (54,A. Dantley (9.4)
1986,NBA,Detroit Pistons*,52,30,0.634,2,3.51,101,0.2,109.2,0.9,105.8,,Lost E. Conf. Finals,C. Daly (52,B. Laimbeer (10.5)
1985,NBA,Detroit Pistons*,46,36,0.561,3,1.44,104.2,2.1,109,1.8,107.9,0.7,Lost E. Conf. 1st Rnd.,C. Daly (46,B. Laimbeer (9.2)
1984,NBA,Detroit Pistons*,46,36,0.561,2,2.73,105,2.9,109.6,1.7,107.2,,Lost E. Conf. Semis,C. Daly (46,I. Thomas (11.2)
1983,NBA,Detroit Pistons*,49,33,0.598,2,3.52,103.8,2.4,111.5,3.9,108.1,0.5,Lost E. Conf. 1st Rnd.,C. Daly (49,B. Laimbeer (10.8)
1982,NBA,Detroit Pistons,37,45,0.451,3,,105.8,2.7,105.4,0.7,105.8,1.1,,S. Robertson (37,B. Laimbeer (8.5)
1981,NBA,Detroit Pistons,39,43,0.476,3,,104.3,3.4,105.8,,106.6,,,S. Robertson (39,K. Tripucka (7.5)
1980,NBA,Detroit Pistons,21,61,0.256,6,,101.2,,98.1,,104.3,,,S. Robertson (21,T. Tyler (6.4)
1979,NBA,Detroit Pistons,16,66,0.195,6,,107.1,4,101.2,,108.8,3.5,,D. Vitale (4,B. Lanier (4.2)
1978,NBA,Detroit Pistons,30,52,0.366,4,,107.2,1.4,102.1,,104.6,0.8,,D. Vitale (30,M. Carr (7.9)
1977,NBA,Detroit Pistons,38,44,0.463,4,,107.7,1,100.3,,101.5,0.6,,H. Brown (9,B. Lanier (10.1)
1976,NBA,Detroit Pistons*,44,38,0.537,2,,108.8,2.3,100.3,0.8,101.3,1.8,Lost W. Conf. 1st Rnd.,H. Brown (44,B. Lanier (10.3)
1975,NBA,Detroit Pistons*,36,46,0.439,2,,105.2,,99.2,0.9,100.2,1.9,Lost W. Conf. Semis,R. Scott (17,B. Lanier (10.1)
1974,NBA,Detroit Pistons*,40,42,0.488,3,,100.5,,98.3,0.6,99.7,2,Lost W. Conf. 1st Rnd.,R. Scott (40,B. Lanier (12.4)
1973,NBA,Detroit Pistons*,52,30,0.634,3,4.02,106.5,,97.6,,93.8,,Lost W. Conf. Semis,R. Scott (52,B. Lanier (14.4)
1972,NBA,Detroit Pistons,40,42,0.488,3,0.54,111.5,0.8,98.4,1.6,98.2,1.4,,E. Lloyd (2,B. Lanier (10.6)
1971,NBA,Detroit Pistons,26,56,0.317,4,,112.8,0.8,96.1,,102.2,4.3,,B. Van Breda Kolff (6,B. Lanier (8.4)
1970,NBA,Detroit Pistons,45,37,0.549,4,,111.3,,98.1,0.9,98.7,1.5,,B. Van Breda Kolff (45,D. Bing (11.7)
1969,NBA,Detroit Pistons,31,51,0.378,7,,111.6,,100.1,1.1,103.1,4.1,,B. Van Breda Kolff (31,J. Walker (6.2)
1968,NBA,Detroit Pistons,32,50,0.39,6,,116.8,,97.3,1.8,100,4.5,,D. Butcher (10,H. Hairston (7.0)
1967,NBA,Detroit Pistons*,40,42,0.488,4,,122,2.2,96.7,,98.4,1.6,Lost E. Div. Semis,D. Butcher (40,D. Bing (6.2)
1966,NBA,Detroit Pistons,30,51,0.37,5,,121.5,,90.9,,95.4,,,D. DeBusschere (28,D. DeBusschere (5.9)
1965,NBA,Detroit Pistons,22,58,0.275,5,,123.4,2,89.4,,94.9,0,,D. DeBusschere (22,E. Miles (6.0)
1964,NBA,Detroit Pistons,31,49,0.388,4,,119.2,1.9,90.5,,93.3,,,C. Wolf (2,T. Dischinger (10.3)
1963,NBA,Detroit Pistons,23,57,0.288,5,,115.9,2.7,92.5,,99.1,4.5,,C. Wolf (23,B. Howell (9.8)
1962,NBA,Detroit Pistons*,34,46,0.425,3,,120.3,5.3,94.2,,97.3,1.4,Lost W. Div. Semis,D. McGuire (34,B. Howell (14.0)
1961,NBA,Detroit Pistons*,37,43,0.463,3,,124.1,2.8,92.8,,94.2,0.6,Lost W. Div. Finals,D. McGuire (37,B. Howell (10.7)
1960,NBA,Detroit Pistons*,34,45,0.43,3,,126,2.5,93.8,1.7,95.6,3.5,Lost W. Div. Semis,D. McGuire (34,B. Howell (11.7)
1959,NBA,Detroit Pistons*,30,45,0.4,2,,123.1,0.8,89.8,,92.6,1.5,Lost W. Div. Semis,R. Rocha (13,G. Shue (8.5)
1958,NBA,Detroit Pistons*,28,44,0.389,3,,117.8,5.8,88.4,,89.4,,Lost W. Div. Semis,R. Rocha (28,D. McGuire (6.9)
1957,NBA,Detroit Pistons*,33,39,0.458,2,,118.8,1.8,88.2,,90.1,1.3,Lost W. Div. Finals,C. Eckman (9,G. Yardley (12.3)
1956,NBA,Fort Wayne Pistons*,34,38,0.472,3,,107.7,2.8,88.8,,91,2.1,Lost W. Div. Semis,C. Eckman (34,G. Yardley (10.0)
1955,NBA,Fort Wayne Pistons*,37,35,0.514,1,0.45,103.2,0.4,90.7,0.4,90,,Lost Finals,C. Eckman (37,L. Foust (11.1)
1954,NBA,Fort Wayne Pistons*,43,29,0.597,1,2.01,100.7,2.6,91.2,1.4,88.9,,Lost Finals,C. Eckman (43,L. Foust (13.3)
1953,NBA,Fort Wayne Pistons*,40,32,0.556,3,1.45,86.9,3.3,89,1.5,87.2,,Eliminated in W. Div. Rnd. Robin,P. Birch (40,L. Foust (10.4)
1952,NBA,Fort Wayne Pistons*,36,33,0.522,3,0.17,91.1,10.6,87.6,,87.7,0,Lost W. Div. Finals,P. Birch (36,L. Foust (6.3)
1951,NBA,Fort Wayne Pistons*,29,37,0.439,4,,90.1,4.3,85.6,,87.9,1,Lost W. Div. Semis,P. Birch (29,L. Foust (7.1)
1950,NBA,Fort Wayne Pistons*,32,36,0.471,3,,102.4,16.9,82,,83.8,,Lost W. Div. Semis,M. Mendenhall (32,F. Schaus (8.5)
1949,NBA,Fort Wayne Pistons*,40,28,0.588,3,1.84,,,,,,,Lost Central Div. Finals,M. Mendenhall (40,F. Schaus (8.4)
1948,BAA,Fort Wayne Pistons,22,38,0.367,5,,,,,,,,,C. Bennett (0,R. Niemiera (4.8)
2017,NBA,Milwaukee Bucks,19,15,0.559,2,,95.6,,109.4,1.6,109.8,2,,J. Kidd (19,G. Antetokounmpo (6.2)
2016,NBA,Milwaukee Bucks*,42,40,0.512,2,,94.5,,109.1,0.3,109.3,0.5,Lost E. Conf. 1st Rnd.,J. Kidd (42,G. Antetokounmpo (12.4)
2015,NBA,Milwaukee Bucks,33,49,0.402,5,,94.2,,104.3,,108.7,2.3,,J. Kidd (33,G. Monroe (7.5)
2014,NBA,Milwaukee Bucks*,41,41,0.5,3,,94.1,0.2,102.7,,102.2,,Lost E. Conf. 1st Rnd.,J. Kidd (41,K. Middleton (6.7)
2013,NBA,Milwaukee Bucks,15,67,0.183,5,,91.8,,103,,111.8,5.1,,L. Drew (15,J. Henson (3.3)
2012,NBA,Milwaukee Bucks*,38,44,0.463,3,,94.7,2.7,103.6,,105.2,,Lost E. Conf. 1st Rnd.,S. Skiles (16,E. Ilyasova (6.7)
2011,NBA,Milwaukee Bucks,31,35,0.47,3,,93.7,2.4,105.5,0.9,105.2,0.6,,S. Skiles (31,E. Ilyasova (6.4)
2010,NBA,Milwaukee Bucks,35,47,0.427,3,,89.8,,101.6,,102.5,,,S. Skiles (35,A. Bogut (5.4)
2009,NBA,Milwaukee Bucks*,46,36,0.561,2,1.37,91.7,,104.9,,103.1,,Lost E. Conf. 1st Rnd.,S. Skiles (46,A. Bogut (7.5)
2008,NBA,Milwaukee Bucks,34,48,0.415,5,,92.6,0.9,106.7,,107.9,,,S. Skiles (34,R. Jefferson (6.6)
2007,NBA,Milwaukee Bucks,26,56,0.317,5,,91.3,,105.3,,112.8,5.3,,L. Krystkowiak (26,M. Redd (5.8)
2006,NBA,Milwaukee Bucks,28,54,0.341,5,,92.3,0.4,107,0.5,111.7,5.2,,T. Stotts (23,M. Redd (6.1)
2005,NBA,Milwaukee Bucks*,40,42,0.488,5,,91.2,0.7,106.3,0.1,107.4,1.2,Lost E. Conf. 1st Rnd.,T. Stotts (40,M. Redd (10.8)
2004,NBA,Milwaukee Bucks,30,52,0.366,5,,90.8,,106.6,0.5,109.8,3.7,,T. Porter (30,M. Redd (6.2)
2003,NBA,Milwaukee Bucks*,41,41,0.5,4,0.42,91.6,1.5,106.5,3.6,105.4,2.5,Lost E. Conf. 1st Rnd.,T. Porter (41,M. Redd (9.7)
2002,NBA,Milwaukee Bucks*,42,40,0.512,4,,90.4,,108.8,5.2,108.6,5,Lost E. Conf. 1st Rnd.,G. Karl (42,S. Cassell (9.6)
2001,NBA,Milwaukee Bucks,41,41,0.5,5,,90.2,,106.9,2.4,107.1,2.6,,G. Karl (41,R. Allen (8.9)
2000,NBA,Milwaukee Bucks*,52,30,0.634,1,3.14,92.1,0.8,108.8,5.8,104.6,1.6,Lost E. Conf. Finals,G. Karl (52,R. Allen (13.7)
1999,NBA,Milwaukee Bucks*,42,40,0.512,5,,92.7,,108.2,4.1,107.9,3.8,Lost E. Conf. 1st Rnd.,G. Karl (42,R. Allen (10.1)
1998,NBA,Milwaukee Bucks*,28,22,0.56,4,1.66,87,,104.9,2.7,103,0.8,Lost E. Conf. 1st Rnd.,G. Karl (28,R. Allen (5.2)
1997,NBA,Milwaukee Bucks,36,46,0.439,7,,90.2,,103.5,,105.6,0.6,,C. Ford (36,R. Allen (7.0)
1996,NBA,Milwaukee Bucks,33,49,0.402,7,,89.5,,106.2,,108.3,1.6,,C. Ford (33,V. Baker (8.3)
1995,NBA,Milwaukee Bucks,25,57,0.305,7,,90.2,,105.6,,111.5,3.9,,M. Dunleavy (25,V. Baker (6.2)
1994,NBA,Milwaukee Bucks,34,48,0.415,6,,92.7,,106.2,,110.9,2.6,,M. Dunleavy (34,V. Baker (5.8)
1993,NBA,Milwaukee Bucks,20,62,0.244,6,,94.5,,102.5,,109.3,3,,M. Dunleavy (20,E. Murdock (7.2)
1992,NBA,Milwaukee Bucks,28,54,0.341,7,,96.1,,106.2,,110.1,2.1,,M. Dunleavy (28,E. Murdock (6.1)
1991,NBA,Milwaukee Bucks,31,51,0.378,6,,95.5,,108.8,0.6,110.6,2.4,,D. Harris (8,M. Malone (7.8)
1990,NBA,Milwaukee Bucks*,48,34,0.585,3,2.33,96.1,,109.7,1.8,107.2,,Lost E. Conf. 1st Rnd.,D. Harris (48,J. Humphries (8.6)
1989,NBA,Milwaukee Bucks*,44,38,0.537,3,,98,,107.3,,108.1,0,Lost E. Conf. 1st Rnd.,D. Harris (44,J. Humphries (7.6)
1988,NBA,Milwaukee Bucks*,49,33,0.598,4,4.11,98.6,,110.1,2.3,106.4,,Lost E. Conf. Semis,D. Harris (49,J. Sikma (8.1)
1987,NBA,Milwaukee Bucks*,42,40,0.512,4,1.21,97.6,,108.2,0.2,107.6,,Lost E. Conf. 1st Rnd.,D. Harris (42,J. Sikma (9.4)
1986,NBA,Milwaukee Bucks*,50,32,0.61,3,4.04,100.3,,109.5,1.2,105.6,,Lost E. Conf. Semis,D. Nelson (50,R. Pierce (9.4)
1985,NBA,Milwaukee Bucks*,57,25,0.695,1,8.69,102.1,0,111.4,4.2,102.7,,Lost E. Conf. Finals,D. Nelson (57,S. Moncrief (11.7)
1984,NBA,Milwaukee Bucks*,59,23,0.72,1,6.69,99.7,,110.5,2.6,103.6,,Lost E. Conf. Semis,D. Nelson (59,S. Moncrief (11.2)
1983,NBA,Milwaukee Bucks*,50,32,0.61,1,4.04,96.9,,107.8,0.2,103.6,,Lost E. Conf. Finals,D. Nelson (50,S. Moncrief (12.7)
1982,NBA,Milwaukee Bucks*,51,31,0.622,1,4.32,100,,105.8,1.1,101.4,,Lost E. Conf. Finals,D. Nelson (51,S. Moncrief (13.2)
1981,NBA,Milwaukee Bucks*,55,27,0.671,1,5.38,100,,107.7,0.8,102.3,,Lost E. Conf. Semis,D. Nelson (55,S. Moncrief (13.4)
1980,NBA,Milwaukee Bucks*,60,22,0.732,1,7.14,103.6,1.8,108.7,3.2,101.8,,Lost E. Conf. Semis,D. Nelson (60,M. Johnson (11.2)
1979,NBA,Milwaukee Bucks*,49,33,0.598,1,3.57,102.4,,106.8,1.5,102.9,,Lost W. Conf. Semis,D. Nelson (49,M. Johnson (11.5)
1978,NBA,Milwaukee Bucks,38,44,0.463,3,2.12,106.5,0.7,106,2.2,104,0.2,,D. Nelson (38,M. Johnson (12.2)
1977,NBA,Milwaukee Bucks*,44,38,0.537,2,,108.7,2,101.8,0.9,102.4,1.5,Lost W. Conf. Semis,D. Nelson (44,M. Johnson (10.6)
1976,NBA,Milwaukee Bucks,30,52,0.366,6,,108.3,1.8,100,0.5,102.9,3.4,,L. Costello (3,S. Nater (6.9)
1975,NBA,Milwaukee Bucks*,38,44,0.463,1,,103.9,,97.3,,98.7,0.4,Lost W. Conf. 1st Rnd.,L. Costello (38,B. Dandridge (9.0)
1974,NBA,Milwaukee Bucks,38,44,0.463,4,0.25,102.1,,98,0.3,97.8,0.1,,L. Costello (38,K. Abdul
1973,NBA,Milwaukee Bucks*,59,23,0.72,1,7.61,105.4,,101.2,3.5,93.6,,Lost Finals,L. Costello (59,K. Abdul
1972,NBA,Milwaukee Bucks*,60,22,0.732,1,7.84,108.3,,98.6,1.8,91.1,,Lost W. Conf. Semis,L. Costello (60,K. Abdul
1971,NBA,Milwaukee Bucks*,63,19,0.768,1,10.7,111.2,,102.6,4.7,92.6,,Lost W. Conf. Finals,L. Costello (63,K. Abdul
1970,NBA,Milwaukee Bucks*,66,16,0.805,1,11.92,113.4,,103.9,6.7,93.1,,Won Finals,L. Costello (66,K. Abdul
1969,NBA,Milwaukee Bucks*,56,26,0.683,2,4.25,115.8,,102.1,3.1,98.1,,Lost E. Div. Finals,L. Costello (56,K. Abdul
1968,NBA,Milwaukee Bucks,27,55,0.329,7,,117.5,0.6,93.9,,98.2,2.7,,L. Costello (27,J. McGlocklin (7.9)
2017,NBA,Indiana Pacers,19,17,0.528,4,0.52,97,,110.1,2.3,109.7,1.9,,N. McMillan (19,V. Oladipo (3.8)
2016,NBA,Indiana Pacers*,42,40,0.512,3,,95.9,,108.6,,108.8,0,Lost E. Conf. 1st Rnd.,N. McMillan (42,J. Teague (8.1)
2015,NBA,Indiana Pacers*,45,37,0.549,2,1.62,96.6,0.8,104.6,,102.9,,Lost E. Conf. 1st Rnd.,F. Vogel (45,P. George (9.2)
2014,NBA,Indiana Pacers,38,44,0.463,4,,93.2,,103.5,,103.2,,,F. Vogel (38,G. Hill (5.4)
2013,NBA,Indiana Pacers*,56,26,0.683,1,3.63,92.5,,104.1,,99.3,,Lost E. Conf. Finals,F. Vogel (56,P. George (10.8)
2012,NBA,Indiana Pacers*,49,32,0.605,1,3.34,90.2,,104.3,,99.8,,Lost E. Conf. Finals,F. Vogel (49,G. Hill (9.7)
2011,NBA,Indiana Pacers*,42,24,0.636,2,2.6,90.7,,106.7,2.1,103.1,,Lost E. Conf. Semis,F. Vogel (42,D. Granger (6.7)
2010,NBA,Indiana Pacers*,37,45,0.451,2,,94.7,2.6,104.8,,106,,Lost E. Conf. 1st Rnd.,J. O'Brien (17,D. Granger (6.9)
2009,NBA,Indiana Pacers,32,50,0.39,4,,97.1,4.4,103.7,,106.8,,,J. O'Brien (32,T. Murphy (7.8)
2008,NBA,Indiana Pacers,36,46,0.439,4,,96.5,4.8,108.1,,109.2,0.9,,J. O'Brien (36,T. Murphy (8.5)
2007,NBA,Indiana Pacers,36,46,0.439,3,,97.7,5.3,106,,107.5,0,,J. O'Brien (36,M. Dunleavy (8.5)
2006,NBA,Indiana Pacers,35,47,0.427,4,,92.4,0.5,102.9,,105.5,,,R. Carlisle (35,D. Granger (6.5)
2005,NBA,Indiana Pacers*,41,41,0.5,3,1.62,89.7,,104.5,,102.4,,Lost E. Conf. 1st Rnd.,R. Carlisle (41,J. Foster (5.7)
2004,NBA,Indiana Pacers*,44,38,0.537,3,0.49,87.2,,105.5,,104.6,,Lost E. Conf. Semis,R. Carlisle (44,R. Miller (6.6)
2003,NBA,Indiana Pacers*,61,21,0.744,1,4.93,87.5,,103.8,0.9,97.2,,Lost E. Conf. Finals,R. Carlisle (61,J. O'Neal (9.0)
2002,NBA,Indiana Pacers*,48,34,0.585,2,2.79,91.6,0.6,104.6,1,100.8,,Lost E. Conf. 1st Rnd.,I. Thomas (48,J. O'Neal (10.5)
2001,NBA,Indiana Pacers*,42,40,0.512,4,,91.9,1.2,104.1,,103.8,,Lost E. Conf. 1st Rnd.,I. Thomas (42,R. Miller (9.5)
2000,NBA,Indiana Pacers*,41,41,0.5,4,,89.4,,102,,102.2,,Lost E. Conf. 1st Rnd.,I. Thomas (41,R. Miller (10.3)
1999,NBA,Indiana Pacers*,56,26,0.683,1,4.15,93.1,0,108.5,4.4,103.6,,Lost Finals,L. Bird (56,R. Miller (10.1)
1998,NBA,Indiana Pacers*,33,17,0.66,1,3.86,86.4,,108.7,6.5,104.4,2.2,Lost E. Conf. Finals,L. Bird (33,R. Miller (6.4)
1997,NBA,Indiana Pacers*,58,24,0.707,2,6.25,87.9,,108.4,3.4,101.6,,Lost E. Conf. Finals,L. Bird (58,R. Miller (12.0)
1996,NBA,Indiana Pacers,39,43,0.476,6,1.49,89,,105.8,,104.7,,,L. Brown (39,R. Miller (12.3)
1995,NBA,Indiana Pacers*,52,30,0.634,2,3.11,89.3,,110.8,3.2,107.2,,Lost E. Conf. 1st Rnd.,L. Brown (52,R. Miller (10.3)
1994,NBA,Indiana Pacers*,52,30,0.634,1,3.35,90,,109.6,1.3,105.6,,Lost E. Conf. Finals,L. Brown (52,R. Miller (11.4)
1993,NBA,Indiana Pacers*,47,35,0.573,3,3.26,93.3,,107.8,1.5,104.2,,Lost E. Conf. Finals,L. Brown (47,R. Miller (11.7)
1992,NBA,Indiana Pacers*,41,41,0.5,5,1.77,96,,111.9,3.9,110.1,2.1,Lost E. Conf. 1st Rnd.,B. Hill (41,R. Miller (11.3)
1991,NBA,Indiana Pacers*,40,42,0.488,4,1.85,99,2.4,111.7,3.5,109.9,1.7,Lost E. Conf. 1st Rnd.,B. Hill (40,R. Miller (11.0)
1990,NBA,Indiana Pacers*,41,41,0.5,5,,99.4,1.6,111.7,3.8,112.1,4.2,Lost E. Conf. 1st Rnd.,D. Versace (9,R. Miller (12.5)
1989,NBA,Indiana Pacers*,42,40,0.512,5,,97,,111.5,3.4,111.4,3.3,Lost E. Conf. 1st Rnd.,D. Versace (42,R. Miller (12.1)
1988,NBA,Indiana Pacers,28,54,0.341,6,,99.2,,106.8,,111,3.2,,J. Ramsay (0,R. Miller (6.5)
1987,NBA,Indiana Pacers,38,44,0.463,6,,98,,106.6,,107.4,,,J. Ramsay (38,V. Fleming (8.4)
1986,NBA,Indiana Pacers*,41,41,0.5,4,,98.8,,106,,106.6,,Lost E. Conf. 1st Rnd.,J. Ramsay (41,S. Stipanovich (9.0)
1985,NBA,Indiana Pacers,26,56,0.317,6,,100.9,,102.6,,105.9,,,G. Irvine (26,V. Fleming (6.9)
