YEAR,GP,MIN,"%FGA2PT","%FGA3PT","%PTS2PT","%PTS2PT MR","%PTS3PT","%PTSFBPS","%PTSFT","%PTSOFF TO","%PTSPITP","2FGM%AST","2FGM%UAS","3FGM%AST","3FGM%UAST","FGM%AST","FGM%UAST",TEAM
2011,66,48.3,79.5,20.5,64.4,22.9,19.8,14.1,15.8,15.4,41.5,58.1,41.9,80.7,19.3,61.9,38.1,Bulls
2019,65,48.2,60.4,39.6,51.3,5,34.3,13.9,14.5,19.8,46.3,48.7,51.3,81.2,18.8,58.7,41.3,Bulls
1998,50,48.3,84.1,15.9,66.5,25.7,13,11,20.5,19.3,40.8,62.5,37.5,93.8,6.2,66.1,33.9,Bulls
2021,82,48.1,61.3,38.7,52.1,7.2,32.3,10.4,15.6,14.7,44.9,55.6,44.4,82.2,17.8,63.4,36.6,Cavaliers
2018,82,48.2,66.8,33.2,54.7,12.1,29.7,10.1,15.7,13.8,42.6,43.5,56.5,80.2,19.8,53.2,46.8,Cavaliers
2017,82,48.1,62.1,37.9,51.3,11.4,32.4,11.3,16.4,14.6,39.9,47.8,52.2,81.9,18.1,57.9,42.1,Cavaliers
2016,82,48.5,60.1,39.9,48.8,13,35.4,11.7,15.8,13.3,35.8,44.1,55.9,82.9,17.1,56.7,43.3,Cavaliers
2015,82,48.4,64.8,35.2,53.6,14.3,30.9,11.4,15.6,15.6,39.3,48.1,51.9,86.3,13.7,58.7,41.3,Cavaliers
2014,82,48.2,66.6,33.4,53.5,13.8,29.3,11,17.2,15.5,39.7,50.9,49.1,80.3,19.7,58.7,41.3,Cavaliers
2013,82,48.6,76.4,23.6,60.9,20.9,21.8,10.9,17.4,15.3,40,51.3,48.7,82.2,17.8,57.2,42.8,Cavaliers
2012,82,48.1,77.1,22.9,61.8,20.6,20.7,10.5,17.4,17.5,41.2,50.9,49.1,82.1,17.9,56.6,43.4,Cavaliers
2010,82,48.2,77.6,22.4,60.7,18.4,19.5,14.8,19.8,14.8,42.3,54.2,45.8,84.7,15.3,59.6,40.4,Cavaliers
2009,82,48.2,75.2,24.8,59.7,16.6,21.6,13.7,18.7,15.1,43.1,55.1,44.9,76.2,23.8,59.2,40.8,Cavaliers
2008,82,48.2,74.1,25.9,57.5,22,23.9,11.4,18.5,17.2,35.6,48.4,51.6,79,21,55,45,Cavaliers
2007,82,48.4,76.9,23.1,60.4,20.8,21,12.3,18.7,14.5,39.5,49.8,50.2,82.1,17.9,55.8,44.2,Cavaliers
2006,82,48.5,78.9,21.1,62.6,21,18.7,12.7,18.7,17.2,41.6,51.9,48.1,84.6,15.4,57.4,42.6,Cavaliers
2005,82,48.4,77.2,22.8,60.3,18.1,18.6,12.9,21.1,15.5,42.1,48.2,51.8,80.3,19.7,53.6,46.4,Cavaliers
2004,82,48.4,86.5,13.5,68,24.4,11.4,13.2,20.6,18.3,43.6,59.9,40.1,79.7,20.3,61.9,38.1,Cavaliers
2003,82,48.4,88.4,11.6,70.2,25.1,9.7,13.9,20.1,15.7,45.1,59.5,40.5,87.9,12.1,61.9,38.1,Cavaliers
2002,82,48.4,86.7,13.3,68.2,25.2,11.7,15.4,20,16.6,43.1,57.2,42.8,85.3,14.7,60.1,39.9,Cavaliers
2001,82,48.4,84.4,15.6,65.6,29.7,14.9,12.3,19.6,14.2,35.8,60.1,39.9,91,9,64.1,35.9,Cavaliers
2000,82,48.4,89.9,10.1,70.6,27.4,8.7,14.2,20.6,17.4,43.2,56.4,43.6,91.4,8.6,59.1,40.9,Cavaliers
1999,82,48.4,86.4,13.6,66.3,24.5,12.9,17.5,20.8,18.3,41.7,62.3,37.7,87.8,12.2,65.2,34.8,Cavaliers
1997,82,48.4,87.1,12.9,66.4,22.4,11.8,14.4,21.8,20.9,44,64.2,35.8,93,7,67.2,32.8,Cavaliers
1996,82,48.4,78.5,21.5,61.9,24.6,20.2,9.4,17.9,20.8,37.4,59.4,40.6,81.6,18.4,63.4,36.6,Cavaliers
2020,72,48.4,65.3,34.7,55.1,5.9,28.9,10.9,16.1,15.7,49.1,54,46,84,16,61.8,38.2,Cavaliers
2011,66,48.4,76.3,23.8,59.3,14.2,21.5,11.3,19.2,15.6,45.1,51.6,48.4,83.6,16.4,57.9,42.1,Cavaliers
2019,65,48.4,63.8,36.2,54.5,8.4,31.4,9.9,14.1,13.4,46.1,47.2,52.8,83.5,16.5,57.3,42.7,Cavaliers
1998,50,48.2,85,15,63.9,23.8,12.6,12.9,23.5,20.6,40.1,67.4,32.6,89.6,10.4,70,30,Cavaliers
2021,82,48.2,56.1,43.9,48.5,8.8,36.3,9.3,15.1,13.8,39.7,50.2,49.8,78.3,21.7,59.5,40.5,Mavericks
2018,82,48.2,57.8,42.2,48.4,7.5,34.3,11.3,17.3,13.4,40.9,50.6,49.4,80.6,19.4,60.3,39.7,Mavericks
2017,82,48.3,61.8,38.2,51.5,13.6,34.6,9.7,13.9,14.4,37.9,49.1,50.9,82.4,17.6,59.4,40.6,Mavericks
2016,82,48.2,63.4,36.6,52.1,18.6,32.8,7.9,15.1,16.1,33.5,47.4,52.6,81.3,18.7,57.4,42.6,Mavericks
2015,82,48.8,66.1,33.9,53.8,16.7,28.8,11,17.3,15.6,37.1,50,50,85,15,59.2,40.8,Mavericks
2014,82,48.5,70.4,29.6,58.5,17.9,25.5,15.2,16.1,18.3,40.6,48.2,51.8,85.9,14.1,56.7,43.3,Mavericks
2013,82,48.4,72.6,27.4,58.8,18.9,25.2,11.7,16,16.4,39.9,52,48,86.1,13.9,59.6,40.4,Mavericks
2012,82,48.7,76.4,23.6,62.1,22.1,21.9,16,16,16,40.1,53.8,46.2,86,14,59.9,40.1,Mavericks
